statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,0,0,0,1,0,1,2,1,6,1,2,3,0,0,0,0,1,10,1,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,1,0,0,25,0,0,8,0,0,0,0,0,0,0,34,43,0,0,0,0,0,0,0,0,0,0,18,0,13,6,0,8,2,0,0,0,19,46,16,0,0,28,2,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,0,0,1,0,1,2,1,6,1,2,3,0,0,0,0,3,11,2,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,0,0,1,0,0,146,0,0,19,0,0,0,0,1,0,0,211,328,0,0,0,0,0,0,0,0,0,0,151,0,67,46,6,16,3,0,0,0,176,379,159,0,0,219,52,52,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,5,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0,0,2,0,0,34,0,0,10,0,0,0,0,0,0,0,43,53,0,0,0,0,0,0,0,0,0,1,30,0,17,17,0,2,0,0,0,0,19,53,16,0,0,36,3,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,0,0,1,0,0,318,0,0,40,69,40,0,0,0,0,0,460,983,0,0,0,0,0,0,0,0,0,0,45,0,102,61,38,3,41,0,0,1,896,1127,798,0,0,59,11,11,17,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,19,0,0,1,1,1,0,0,0,0,0,39,44,0,2,0,0,0,0,0,1,0,3,8,0,9,5,0,4,1,0,0,0,25,38,23,0,6,20,6,5,12,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
6,0,0,0,0,0,7,0,0,3,1,1,0,0,0,0,0,7,9,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,3,0,0,0,0,3,10,3,0,0,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,21,0,0,2,0,0,0,0,0,0,0,25,36,0,0,0,0,0,0,0,0,0,1,18,0,12,11,1,0,0,0,0,0,22,45,22,0,0,23,4,2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
