statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
2,0,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,7,11,7,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1,0,0,20,0,0,5,0,0,0,0,0,0,0,34,57,0,0,0,0,0,0,0,1,0,0,14,1,16,13,4,0,0,0,0,0,37,56,37,0,0,16,2,2,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,5,0,0,1,1,1,0,0,0,0,0,5,4,0,0,0,0,0,0,0,1,0,1,2,1,2,0,0,2,0,0,0,0,2,10,2,0,0,5,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,5,0,0,1,0,0,1,1,0,0,0,7,8,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,3,1,0,0,0,2,7,2,0,0,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,1,0,0,8,0,0,1,0,0,0,0,0,0,0,16,20,0,0,0,0,0,0,0,1,1,0,4,1,7,6,0,2,0,0,0,0,10,19,10,0,1,6,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,10,13,0,0,0,0,0,0,0,1,0,2,1,1,1,1,0,0,0,0,0,0,16,18,16,0,4,4,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,41,51,0,1,0,0,0,0,0,1,0,3,7,1,6,4,0,2,0,0,0,0,42,50,43,0,11,15,5,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,34,7,0,0,0,0,0,0,0,1,0,28,1,1,2,2,0,0,0,0,0,0,5,36,5,0,1,30,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,1,0,1,2,1,5,0,1,4,0,0,0,0,2,11,1,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
