statements,undef_definition,alias_definition,require_definition,BEGIN_statement,END_statement,Expression,return_expression,yield_expression,iterator,block_var,block_vars,statement_modifier,modifier,rescue_statement,ensure_statement,return_statement,primary,reference,yield_statement,if_statement,unless_statement,while_statement,until_statement,case_statement,for_statement,class_definition,module_definition,method_definition,command,class_inheritance,literal,string_literal,numeric_literal,symbol_literal,array_literal,regular_expression,command_output,here_document,variable,identifier,varname,global_id,instance_id,operation,function_call,paren_call_args,call_args,binary_op,unary_op,Include statement,Respond To statement,Method Missing statement,Define Method statement,Attr Reader statement,Attr Writer statement,Attr Accessor statement,Instance Variable Get statement,Instance Variable Set statement,Class Variable Get statement,Class Variable Set statement,Const Get statement,Const Set statement,Eval statement,Class Eval statement,Module Eval statement,Instance Eval statement,Instance Exec statement,Send statement
44,0,0,1,0,0,78,0,0,22,0,0,0,0,0,0,0,128,181,0,0,0,0,0,0,0,0,0,0,84,0,58,25,27,7,3,0,0,0,82,194,82,0,0,114,23,22,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,1,0,0,379,0,0,92,0,0,0,0,0,0,0,659,1101,0,0,0,0,0,0,0,0,0,0,489,0,275,112,134,30,42,0,0,0,533,1118,523,0,0,609,90,85,479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,0,0,30,0,0,4,0,0,0,0,0,0,0,38,65,0,0,0,0,0,0,0,0,0,0,50,0,15,7,7,2,2,0,0,0,36,83,30,0,0,53,1,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0,0,1,0,0,58,0,0,15,0,0,0,0,0,0,0,72,117,0,0,0,0,0,0,0,0,0,0,80,0,28,22,6,1,0,0,0,0,69,150,58,0,0,92,11,10,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0,0,1,0,0,179,0,0,58,4,4,3,3,0,0,0,219,301,0,0,0,0,0,0,0,0,0,0,179,0,120,85,33,3,4,0,0,0,104,312,98,0,0,201,19,12,162,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,0,0,1,0,0,86,0,0,20,0,0,0,0,0,0,0,57,127,0,0,0,0,0,0,0,0,0,0,152,0,47,35,13,0,4,0,0,0,43,127,8,0,0,152,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,0,0,1,0,0,205,0,0,60,0,0,0,0,0,0,0,206,333,0,0,0,0,0,0,0,0,0,0,234,0,97,68,23,7,2,0,0,0,130,369,121,0,0,260,19,14,198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,8,0,0,2,0,0,0,0,0,0,0,12,14,0,0,0,0,0,0,0,1,0,1,2,1,4,2,2,0,0,0,0,0,8,14,8,0,1,5,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,0,0,30,0,0,4,0,0,0,0,0,0,0,38,65,0,0,0,0,0,0,0,0,0,0,50,0,15,7,7,2,2,0,0,0,36,83,30,0,0,53,1,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,34,0,0,1,1,1,1,1,0,0,0,58,66,0,2,0,0,0,0,0,0,2,6,13,0,14,5,2,7,3,0,0,0,41,76,37,0,0,31,7,7,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,0,0,1,0,0,29,0,0,9,0,0,0,0,0,0,0,27,48,0,0,0,0,0,0,0,0,0,0,37,0,13,9,3,2,0,0,0,0,25,64,22,0,0,42,3,2,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0,0,1,0,0,16,0,0,0,0,0,1,1,0,0,0,18,18,0,1,0,0,0,0,0,1,1,3,5,1,2,3,0,0,0,0,0,0,13,26,13,0,0,9,4,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0,0,1,0,0,135,0,0,30,0,0,0,0,0,0,0,288,432,0,0,0,0,0,0,0,0,0,0,184,0,113,36,59,19,23,0,0,0,203,422,200,0,0,226,23,23,175,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,0,1,0,0,30,0,0,4,0,0,0,0,0,0,0,38,65,0,0,0,0,0,0,0,0,0,0,50,0,15,7,7,2,2,0,0,0,36,83,30,0,0,53,1,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0,0,1,0,0,68,0,0,15,0,0,0,0,0,0,0,91,146,0,0,0,0,0,0,0,0,0,0,91,0,32,14,11,8,5,0,0,0,76,176,70,0,0,106,7,6,79,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,0,0,1,0,0,40,0,0,13,0,0,0,0,0,0,0,36,63,0,0,0,0,0,0,0,0,0,0,51,0,21,16,3,3,0,0,0,0,25,81,22,0,0,59,5,3,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,16,14,0,1,0,0,0,0,0,1,1,2,7,1,3,4,0,0,0,0,0,0,8,21,6,0,0,8,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,0,2,0,0,14,0,0,5,2,2,0,0,0,0,0,21,32,0,0,0,0,0,0,0,0,0,0,19,0,15,17,0,0,2,0,0,0,15,28,12,0,0,19,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1614,0,0,66,0,0,2778,0,0,631,22,19,15,15,0,0,0,4195,6428,0,11,1,1,1,0,0,8,11,43,3260,4,1784,920,710,219,267,0,1,0,3004,6749,2815,10,12,3996,496,432,3128,30,2,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
